point,lat,lon,zone1,hemisphere,zone2,east,north,psf,grid_conv
WAYPOINT,-36.385359,144.288527,55,South,55,256788.723,5969892.875,1.00032886,-1.60927
WAYPOINT,-36.385358,144.288529,55,South,55,256788.899,5969892.991,1.00032886,-1.609269
WAYPOINT,-36.385352,144.288523,55,South,55,256788.342,5969893.642,1.00032886,-1.609272
WAYPOINT,-36.385349,144.288526,55,South,55,256788.602,5969893.982,1.00032886,-1.609271
WAYPOINT,-36.385343,144.288527,55,South,55,256788.673,5969894.65,1.00032886,-1.60927
WAYPOINT,-36.385339,144.288526,55,South,55,256788.571,5969895.092,1.00032886,-1.60927
WAYPOINT,-36.385336,144.28853,55,South,55,256788.92,5969895.435,1.00032886,-1.609268
WAYPOINT,-36.385344,144.28851,55,South,55,256787.151,5969894.497,1.00032887,-1.60928
WAYPOINT,-36.385344,144.28851,55,South,55,256787.151,5969894.497,1.00032887,-1.60928
WAYPOINT,-36.385325,144.288509,55,South,55,256787.002,5969896.602,1.00032887,-1.60928
WAYPOINT,-36.385319,144.288507,55,South,55,256786.804,5969897.263,1.00032887,-1.609281
WAYPOINT,-36.385346,144.2885,55,South,55,256786.26,5969894.249,1.00032887,-1.609286
WAYPOINT,-36.385351,144.288503,55,South,55,256786.544,5969893.702,1.00032887,-1.609284
WAYPOINT,-36.385375,144.288506,55,South,55,256786.889,5969891.047,1.00032887,-1.609283
WAYPOINT,-36.385386,144.288501,55,South,55,256786.474,5969889.814,1.00032887,-1.609287
WAYPOINT,-36.385398,144.288471,55,South,55,256783.82,5969888.406,1.00032889,-1.609305
WAYPOINT,-36.385403,144.288467,55,South,55,256783.477,5969887.842,1.00032889,-1.609308
WAYPOINT,-36.385401,144.288455,55,South,55,256782.394,5969888.033,1.0003289,-1.609315
WAYPOINT,-36.385397,144.288437,55,South,55,256780.767,5969888.432,1.00032891,-1.609325
WAYPOINT,-36.385385,144.28844,55,South,55,256780.998,5969889.771,1.0003289,-1.609323
WAYPOINT,-36.385373,144.288447,55,South,55,256781.589,5969891.12,1.0003289,-1.609318
WAYPOINT,-36.385378,144.28844,55,South,55,256780.976,5969890.548,1.0003289,-1.609323
WAYPOINT,-36.385384,144.288418,55,South,55,256779.022,5969889.826,1.00032892,-1.609336
WAYPOINT,-36.385383,144.288404,55,South,55,256777.762,5969889.902,1.00032892,-1.609344
WAYPOINT,-36.385383,144.288393,55,South,55,256776.775,5969889.874,1.00032893,-1.609351
WAYPOINT,-36.385359,144.288394,55,South,55,256776.79,5969892.54,1.00032893,-1.609349
WAYPOINT,-36.38539,144.288376,55,South,55,256775.272,5969889.055,1.00032894,-1.609361
WAYPOINT,-36.38539,144.288398,55,South,55,256777.246,5969889.11,1.00032893,-1.609348
WAYPOINT,-36.385388,144.288383,55,South,55,256775.894,5969889.294,1.00032893,-1.609357
